Date,Owner Occ. Hsing Dbt / Inc
Mar-2010,83.3
Jun-2010,83.8
Sep-2010,83.5
Dec-2010,83.0
Mar-2011,82.3
Jun-2011,81.9
Sep-2011,81.5
Dec-2011,81.4
Mar-2012,81.5
Jun-2012,81.3
Sep-2012,81.7
Dec-2012,82.0
Mar-2013,82.3
Jun-2013,82.9
Sep-2013,82.9
Dec-2013,83.0
Mar-2014,83.2
Jun-2014,83.3
Sep-2014,83.4
Dec-2014,83.7
Mar-2015,84.3
Jun-2015,85.0
Sep-2015,86.2
Dec-2015,88.1
Mar-2016,89.4
Jun-2016,90.8
Sep-2016,92.0
Dec-2016,93.1
Mar-2017,94.5
Jun-2017,95.9
Sep-2017,97.3
Dec-2017,98.1
Mar-2018,98.8
Jun-2018,99.4
Sep-2018,99.8
Dec-2018,99.9
Mar-2019,99.8
Jun-2019,99.7
Sep-2019,99.5
Dec-2019,100.0
Mar-2020,100.4
Jun-2020,100.6
Sep-2020,100.7
Dec-2020,101.4
Mar-2021,102.5
Jun-2021,104.3
Sep-2021,105.7
Dec-2021,107.2
Mar-2022,108.2
Jun-2022,108.7
Sep-2022,109.1
Dec-2022,108.8
